name,identifier,role,grade,grade_basis,decisive_fact,coverage
"David Vélez Osorno","No public officer ID in pool","Founder, Chairman, CEO","Clean","own record","No attributed adverse record was found; the publicly available searches are not a complete Brazil/Cayman court or sanctions clearance.","Full sweep 2026-08-30 — coverage-limited"
"Cristina Helena Zingaretti Junqueira","SEC CIK 0001973445","Co-founder, CGO, US CEO","Clean","own record","SEC officer identity is anchored; no attributed adverse record was returned in the limited public sweep.","Full sweep 2026-08-30 — coverage-limited"
"Rob Livingston","No public officer ID in pool","CFO from 2026-07-13","Clean","own record","Newly appointed CFO; no adverse record attributed, but identity-specific court/regulatory screening is incomplete.","Full sweep 2026-08-30 — coverage-limited"
"Guilherme Marques do Lago","No public officer ID in pool","Special Advisor; former CFO","Clean","own record","Former CFO; BCB records corroborate a Nu Pagamentos directorship, but no complete historic directorship map was available.","Full sweep 2026-08-30 — coverage-limited"
"Roberto de Oliveira Campos Neto","No public officer ID in pool","Executive Vice-Chairman, Global Head of Public Policy","Clean","own record","Former BCB president; appointment followed the stated six-month statutory quarantine. This is a disclosed revolving-door risk, not an adverse integrity record.","Full sweep 2026-08-30 — coverage-limited"
"Anita Mary Sands","No public officer ID in pool","Lead independent director","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-C scope)"
"David Alexandre Marcus","No public officer ID in pool","Independent director","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-C scope)"
"Douglas Mauro Leone","No public officer ID in pool","Independent director","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-C scope)"
"Diego Piacentini","No public officer ID in pool","Independent director","Clean","own record","Former public-role exposure is historical; no attributed adverse record in scoped sources.","Coverage-limited (Tier-C scope)"
"Jacqueline Dawn Reses","No public officer ID in pool","Independent director","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-C scope)"
"Luis Alberto Moreno Mejía","No public officer ID in pool","Independent director","Clean","own record","Former public-role exposure is historical; no attributed adverse record in scoped sources.","Coverage-limited (Tier-C scope)"
"Rogério Paulo Calderón Peres","No public officer ID in pool","Independent director, audit-chair","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-C scope)"
"Thuan Quang Pham","No public officer ID in pool","Independent director","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-C scope)"
"Eric Cristhopher Young","No public officer ID in pool","CTO","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-B scope)"
"Ethan Eismann","No public officer ID in pool","Chief Design Officer","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-B scope)"
"Henrique Camossa Saldanha Fragelli","No public officer ID in pool","Chief Risk Officer","Clean","own record","BCB appointment record corroborates identity at Nu Pagamentos; no attributed adverse record in scoped sources.","Coverage-limited (Tier-B scope)"
"Livia Martines Chanes","No public officer ID in pool","Brazil CEO","Clean","own record","BCB appointment record corroborates identity at Nu Pagamentos; no attributed adverse record in scoped sources.","Coverage-limited (Tier-B scope)"
"Suzana Kubric","No public officer ID in pool","Chief People Officer","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-B scope)"
"Guilherme Souto","No public officer ID in pool","IRO / market intelligence director","Clean","own record","No attributed adverse record in scoped sources.","Coverage-limited (Tier-B scope)"
"Carl Rivera","No public officer ID in pool","Chief Product Officer","Clean","own record","Role is vendor-profile sourced; no attributed adverse record in scoped sources.","Coverage-limited (Tier-B scope)"
"Kim Farrell","No public officer ID in pool","Global Marketing Director","Clean","own record","Appointment is vendor-timeline sourced; current status not independently confirmed.","Coverage-limited (Tier-B scope)"
"Mariel Lorena Reyes Milk","No public officer ID in pool","Vélez spouse / Class B holder","Clean","own record","Ownership link is disclosed; no operating role or adverse record attributed.","Coverage-limited (Tier-C scope)"
"Rubens Fernandes Pereira","No public officer ID in pool","Junqueira spouse / co-controller of holder entities","Clean","own record","Ownership-control link is disclosed; no operating role or adverse record attributed.","Coverage-limited (Tier-C scope)"
"Edward Wible","No public officer ID in pool","Self-disclosed co-founder, no current role established","Clean","own record","Past co-founder surfaced by the company’s own history page; no adverse record attributed.","Coverage-limited (Tier-B founder scope)"
