id,section,test,flag,finding,confidence,source,owner_agent
"A1-01","A1","Board size & independence ratio","Green","9 officially disclosed directors; 7 designated independent. CIQ later shows an inconsistent 10th row.","3","[FY2025 Form 20-F, p.187; Capital IQ Board Members export, 2026-08-29 — vendor]","board-and-shareholder-rights"
"A1-02","A1","Chair–MD/CEO separation","Red","Same founder is chair and CEO; lead independent is a partial offset","3","[FY2025 Form 20-F, p.187]","board-and-shareholder-rights"
"A1-03","A1","Non-executive, non-promoter chair","Red","Founder/controller chair","3","[FY2025 Form 20-F, pp.187, 203]","board-and-shareholder-rights"
"A1-04","A1","TRUE independence of IDs (beyond the label)","Amber","Seven designated independent; controller’s rights and one c.10-year tenure limit confidence","3","[FY2025 Form 20-F, pp.187–190, 193–194]","board-and-shareholder-rights"
"A1-05","A1","Director & KMP reputation *(from 07's per-person dossiers)*","Amber","No attributed Material/Disqualifying fact; investigation coverage limited","3","[MG 07 People & Integrity Dossiers, 2026-08-30]","board-and-shareholder-rights"
"A1-06","A1","Overboarding","Amber","Confirmed listed-board loads are at most two, but private commitments are not fully measurable","3","[FY2025 Form 20-F, pp.188–190]","board-and-shareholder-rights"
"A1-07","A1","Attendance","Insufficient","No director attendance disclosed","3","Reviewed primary materials","board-and-shareholder-rights"
"A1-08","A1","Skills / competence matrix","Amber","Biographies but no formal matrix/gap assessment","3","[FY2025 Form 20-F, pp.188–190]","board-and-shareholder-rights"
"A1-09","A1","ID resignation pattern","Insufficient","No exit/reason disclosure found","3","Reviewed primary materials","board-and-shareholder-rights"
"A1-10","A1","Reappointment / removal patterns","Amber","Nine re-elected; no itemized vote or dissent response available","3","[Form 6-K, 2026-08-06]","board-and-shareholder-rights"
"A1-11","A1","Board evaluation process","Amber","Review exists in vendor field; method/outcome missing","3","[Capital IQ Corporate Governance, 2026-08-29 — vendor]","board-and-shareholder-rights"
"A1-12","A1","Diversity & refreshment","Amber","2/9 women; one 2026 addition; no policy/outcome","3","[FY2025 Form 20-F, pp.187–190]","board-and-shareholder-rights"
"A1-13","A1","Succession planning (CEO & board)","Amber","Charter remit / vendor plan field, no operating evidence","3","[FY2025 Form 20-F, pp.200–201]","board-and-shareholder-rights"
"A1-14","A1","Meeting cadence & ID-inclusive quorum","Insufficient","No count, cadence, or attendance","3","Reviewed primary materials","board-and-shareholder-rights"
"A1-15","A1","Permanent / age-exempt board seats","Amber","Annual elections, but controller determines results","3","[FY2025 Form 20-F, pp.187, 193–194]","board-and-shareholder-rights"
"A1-16","A1","ID appointment/removal minority gate","NA","Indian test not applicable; no equivalent disclosed","3","[FY2025 Form 20-F, Item 10B]","board-and-shareholder-rights"
"A1-17","A1","IDs-only session & D&O cover","Amber","Policy says sessions; occurrence not disclosed; D&O limit “minimal”","3","[FY2025 Form 20-F, p.194; Capital IQ CG, 2026-08-29 — vendor]","board-and-shareholder-rights"
"A2-01","A2","Audit committee quality","Green","3/3 designated independent; independent chair and financial expert","3","[FY2025 Form 20-F, pp.199–200]","board-and-shareholder-rights"
"A2-02","A2","NRC / Risk / Stakeholders committees","Amber","No nomination committee under FPI/controlled exemptions; compensation 3/4 independent; risk integrated with audit","3","[FY2025 Form 20-F, pp.199–201]","board-and-shareholder-rights"
"A2-03","A2","CSR committee & spend *(India)*","NA","Cayman FPI; Indian CSR mandate does not apply","3","Jurisdiction read","board-and-shareholder-rights"
"A2-04","A2","Substance vs paper","Insufficient","No committee meeting, attendance, agenda, or dissent data","3","Reviewed primary materials","board-and-shareholder-rights"
"A2-05","A2","Committee chair rotation & workload","Green","Audit/Risk chaired by Peres; Compensation/People by Reses","3","[FY2025 Form 20-F, pp.199–201]","board-and-shareholder-rights"
"A3-01","A3","Promoter/controller holding trend (12 quarters)","Amber","906.184 million David shares in latest vendor record","4","[CIQ Public Ownership History, 2025-12-31 to 2026-06-30; CIQ Public Ownership Detailed, 2026-07-23 — vendor exports]","ownership-and-insider-behavior"
"A3-02","A3","Share pledging / encumbrance (8–12 quarters)","Insufficient","0 disclosed pledged shares","5","[FY2025 Form 20-F, Item 7A, pp.202–204]","ownership-and-insider-behavior"
"A3-03","A3","Cross-holdings & pyramiding","Red","55.8 percentage-point control-versus-cash-flow wedge","5","[FY2025 Form 20-F, Item 7A, pp.202–204]","ownership-and-insider-behavior"
"A3-04","A3","Differential voting rights","Red","20 Class B votes per share versus 1 for Class A","5","[FY2025 Form 20-F, Item 7A, pp.202–204]","ownership-and-insider-behavior"
"A3-05","A3","Cheap insider equity","Insufficient","0 current-period preferential-issue / warrant review","4","[FY2025 Form 20-F, Item 7A, pp.202–204; CIQ Public Ownership → Insider Trading, through 2026-08-26 — vendor export]","ownership-and-insider-behavior"
"A3-06","A3","Free float level","Green","77.1 % vendor-reported float","4","[CIQ Public Ownership Crossholdings, current extract 2026-08-29 — vendor export]","ownership-and-insider-behavior"
"A3-07","A3","Marquee investor entry/exit","Amber","7.35 % held by BlackRock; Baillie 4.76%, Capital Research 3.21%","4","[CIQ Public Ownership Detailed, position date 2026-06-30 — vendor export]","ownership-and-insider-behavior"
"A3-08","A3","Promoter-group classification hygiene","NA","0 Indian promoter-group filings","5","[FY2025 Form 20-F, Item 7A, pp.202–204]","ownership-and-insider-behavior"
"A3-09","A3","Beneficial-ownership transparency","Green","3 named David/Rua, Cristina/Pereira vehicle chains and spouse linkage","5","[FY2025 Form 20-F, Item 7A, p.203, footnotes 2–4]","ownership-and-insider-behavior"
"A3-10","A3","Takeover-code disclosure hygiene","Insufficient","2 Schedule 13G dates cited for 5% holders","5","[FY2025 Form 20-F, Item 7A, p.203, footnotes 5–6]","ownership-and-insider-behavior"
"A4-01","A4","Auditor identity & rotation compliance","Amber","8 audit years to FY2025","4","[FY2025 Form 20-F, F-5; Item 4.B]","audit-and-assurance-quality"
"A4-02","A4","Audit firm calibre","Red","3 PCAOB disciplinary releases listed on firm profile","5","[PCAOB Release No.105-2025-008; PCAOB Firm Summary No.1124]","audit-and-assurance-quality"
