finding_id,agent,section,question,verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence,materiality,evidence,red_flag_id,follow_up
01-001,01,Key Executives,CEO tenure and continuity,Green,9,years,Stable,No peer set,18,0,5,Medium,CIQ Professionals export,,None
01-002,01,Key Executives,Is CEO a founder/owner-operator?,N/A,0,N/A,N/A,N/A,,0,5,Medium,business-model/11,,Confirm insider % once proxy available
01-003,01,Mgmt Stability,CFO change in last 12 months,Amber,1,count,New,No peer set,12,-3,5,Medium,CIQ Key Developments,,Monitor first 2-3 quarters
01-004,01,Mgmt Stability,CFO turnover pattern (multi-yr),Amber,3,CFOs since 2018,Recurring,No peer set,,0,2,Medium,Web press unverified,,Track a 3rd change
01-005,01,Mgmt Stability,Senior departure within 3mo of CFO change,Amber,1,count (CPO),New,No peer set,,0,5,Medium,CIQ Key Developments,,Watch next 6 months
01-006,01,Mgmt Stability,Succession depth - new COO role,Green,1,new role,New,No peer set,8,0,3,Low,CIQ Professionals/Web,,None
01-007,01,Promise vs Delivery,Adj. EBITDA guidance beat rate TTM,Green,4,of 4 quarters,Improving,No peer set,24,0,5,High,earnings/04,,None
01-008,01,Promise vs Delivery,EPS Normalized accuracy (1 qtr),Green,1,of 1 quarter,Too short,No peer set,,0,4,Medium,earnings/04,,Re-check after 2-3 qtrs
01-009,01,Promise vs Delivery,Revenue vs consensus (unguided),Amber,-0.52,% Q2 miss,Deteriorating small,No peer set,,0,5,Low,earnings/04,,Track post-UK-reclass
01-010,01,Promise vs Delivery,CFO-transition no accounting dispute,Green,1,statement,Stable,No peer set,,0,4,Medium,CIQ/bizmodel/01,,Re-check next filing
01-011,01,Turnaround Test,Live turnaround requiring discount?,N/A,0,N/A,N/A,N/A,,0,4,Medium,earnings/04; 10-K,,None
01-012,01,Integrity Test,Routed adverse-integrity buzz,Green cleared,2,items reviewed,N/A,No peer set,,0,4,Medium,bizmodel/01; 10-K,,None
01-013,01,Key Executives,Independent non-exec chair,Green,1,Chairman,Stable,No peer set,,0,5,Low,CIQ Board Members,,Deepened in 05
02-001,02,Uses of Capital,Buybacks as % of cumulative CFO FY21-25,Amber,37.0,%,Rising,No peer set,,0,5,Medium,CIQ Cash Flow,,Track post-Delivery Hero
02-002,02,Uses of Capital,M&A net cash as % of cumulative CFO,Amber,15.2,%,Volatile,No peer set,,0,5,High,CIQ Cash Flow,,None
02-003,02,Uses of Capital,Debt repaid vs issued FY21-25,Amber,10617,$mm repaid (11921 issued),Refinancing not deleveraging,No peer set,,0,5,Medium,CIQ Cash Flow,,None
02-004,02,M&A Scorecard,Transplace/Uber Freight delivered?,Red,-33,$mm FY25 EBITDA,Deteriorating 3yr decline,No peer set,,0,5,High,CIQ Segments,RF-CAP-004,Track 4th declining year
02-005,02,M&A Scorecard,Drizly delivered?,Red,1,deal shut down,Terminated,No peer set,,0,3,Medium,Web unverified,RF-CAP-004,None - closed
02-006,02,M&A Scorecard,Careem round trip,Amber,100,$mm 2026 step,Round trip,No peer set,,0,3,Low,CIQ Key Dev; Web,,Confirm 2023 price
